Tweets,Hashtags,Retweets,word_count,Compound Score,Sentiment
RT @TeamTrump: Mayor @RudyGiuliani urges Arizona state legislatures to protect the sacred right to vote https://t.co/vh7QgGMPr6,[],14462,16,0.3818,Positive
A judge in Nevada has ordered Clark County officials to allow an inspection of the elections equipment and sealed c… https://t.co/wNAPEmOieA,[],53746,21,0.2263,Positive
RT @iheartmindy: Twitter just suspended this guy’s account for testifying why he would never have certified Arizona’s results with the math…,[],24672,21,-0.4767,Negative
RT @iheartmindy: Dominion Voting System donated thousands of dollars to an anti-Trump Republican PAC linked to our Sec of State in Nevada.…,[],23085,22,0.0,Neutral
"RT @catturd2: Rudy Giuliani is presenting a ton of evidence. 

If you ignore or refuse to look at the mountain of evidence being presented…",[],27013,24,-0.5719,Negative
RT @KamVTV: They never thought they would get caught. They did. Notice how quiet they are? If I was accused of cheating  I would fight like…,[],19963,26,-0.8126,Negative
RT @catturd2: Arizona Witness: Truck Loads of Ballots Kept Coming in For 10 Days After Elections Officials Thought They Were Done Counting…,[],20320,22,0.0,Neutral
"RT @catturd2: They never thought Trump and We the People would call bullshit and fight back hard. 

They were wrong.",[],22540,20,-0.872,Negative
"RT @thebradfordfile: Trump was never running against Biden. 

He was running against voter fraud.",[],21519,14,-0.5859,Negative
Only in America! https://t.co/s0sS1eYXJy,[],23767,4,0.0,Neutral
Not statistically possible. Rigged Election! https://t.co/Yw8roUTJhy,[],24531,6,0.3404,Positive
Thank you! A lot of Senators and House Members are very happy that I came along. Think I’ll stick around for awhile! https://t.co/stOYWuAJ13,[],36214,23,0.7951,Positive
"RT @thebradfordfile: Even CNN is now admitting China lied about Covid cases and deaths.

Trump was right--again.",[],20375,17,-0.3818,Negative
"RT @thebradfordfile: With each additional GOP win in the House, the ""Biden only"" votes look more suspect.",[],11871,17,0.3197,Positive
Donald Trump Calls In to Arizona Voter Fraud Hearing: We‘re Fighting Back https://t.co/pzDS6YnwSf via… https://t.co/h2HgsKZNf0,[],24196,15,-0.743,Negative
Arizona hearings on live right now on @OANN. Such total corruption. So sad for our country!,[],39843,16,-0.6821,Negative
...And there are many such articles. Rigged Election! https://t.co/P8scMauhcI,[],22376,9,-0.4199,Negative
"RT @RedWingGrips: Brian Kemp: ""My state ran the most corrupt election in American history.""

Doug Ducey: ""Hold my beer.""",[],13817,19,0.0,Neutral
"RT @CarmineSabia: Watching the Arizona hearings and then watching Gov. Ducey sign those papers, why bother voting for Republicans if what y…",[],14983,22,-0.34,Negative
RT @DeanBrowningPA: Who needs Democrats when you have Republicans like Brian Kemp and Doug Ducey?,[],11419,15,0.3612,Positive
TRUE! https://t.co/GaldE1fto5,[],27740,2,0.5893,Positive
"Why is he rushing to put a Democrat in office, especially when so many horrible things concerning voter fraud are b… https://t.co/sjNIz8E1GN",[],25810,22,-0.8214,Negative
